id_ISO_lang,id_name_lang,latitude,longitude,lang_continent_lang,lang_subregion_lang,response_AES_lang,response_EGIDS_lang,soceco_GDP.2010USD.10yr.median_country,lang_L1.POP_lang,soceco_Gini.SWIID.10yr.median_country,edu_Ed.spending.pcGDP.10yr.median_country,edu_Mean.yr.school.10yr.median_country,soceco_Life.exp.birth.10yr.median_country,soceco_Life.exp.sixty.average_country,soceco_gdp.pcap.10yrmed_country,soceco_expense.pcGDP.10yrmed_country,edu_ed.sp.prm.pcGDP.10yrmed_country,edu_ed.sp.sec.pcGDP.10yrmed_country,edu_ed.sp.tert.pcGDP.10yrmed_country,edu_ed.sp.tot.pcxpd.10yrmed_country,landuse_urban.change_country,worldlang_world.language.as.official_country,edu_minority.education.policy_country,worldlang_Arabic_country,worldlang_Bahasa_country,worldlang_English_country,worldlang_French_country,worldlang_Hindustani_country,worldlang_Mandarin_country,worldlang_Portuguese_country,worldlang_Russian_country,worldlang_Spanish_country,edu_used.in.education_lang,lang_type_lang,div_language.richness_nb,div_threatened.languages_nb,div_prop.threatened.languages_nb,div_language.evenness_nb,conn_nav.water_nb,Western_Africa,Oceania,Europe,Southern_Asia,South_America,Northern_America,Africa,South-Eastern_Asia,Arab,Asia,Central_America,Australia_and_New_Zealand
kgv,Kalamang,-3.454537,132.686683,Asia,South-Eastern Asia,shifting,8a,7.55E+11,240,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,5,4,0.8,0.784914971,0.006672423,0,0,0,0,0,0,0,1,0,0,0,0
kgy,Kyerung,28.41666667,85.33333333,Asia,Asia,shifting,6a,5.19528E+12,600,41.88246346,3.666420964,6.710784475,74.15744098,19.23579943,3967.4171,22.70194381,8.049610619,4.708701141,1.746324339,16.13139581,37.94168217,0.852696119,0.852696119,0,0,0,0,0,0.852696119,0,0,0,0,prevalent,11,1,0.090909091,0.530942262,0.01163605,0,0,0,0,0,0,0,0,0,1,0,0
kha,Khasi,25.5,92,Asia,Southern Asia,threatened,2,1.62178E+12,843000,45.98315373,3.375402336,5.381400547,66.75791169,17.79120639,1336.121893,15.04102466,27.87492752,38.79801936,31.45749287,12.01819751,16.23573194,0.962801094,0.962801094,0,0,0.962801094,0,0.962801094,0,0,0,0,1,prevalent,10,0,0,0.373277489,0.050191024,0,0,0,1,0,0,0,0,0,0,0,0
khd,Ngkontar Baedi,-8.833333333,140.75,Asia,South-Eastern Asia,moribund,8b,7.55E+11,10,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,12,7,0.583333333,0.057690737,0.022232814,0,0,0,0,0,0,0,1,0,0,0,0
khe,Korowai,-5.25,140,Asia,South-Eastern Asia,shifting,6a,7.55E+11,3500,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,19,9,0.473684211,0.148690297,0,0,0,0,0,0,0,0,1,0,0,0,0
khh,Kehu,-3.19,136.14,Asia,South-Eastern Asia,moribund,6b,7.55E+11,200,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,13,6,0.461538462,0.231475845,0.000787,0,0,0,0,0,0,0,1,0,0,0,0
khj,Kuturmi,9.829909,7.680001,Africa,Western Africa,threatened,6a,3.63E+11,10500,41.9,3.06,5.2,50.847,13.68090624,2292.445156,,,,,,34.109,1,0,0,0,1,0,0,0,0,0,0,0,prevalent,19,0,0,0.665473243,0,1,0,0,0,0,0,0,0,0,0,0,0
khk,Halh Mongolian,47,105,Asia,Asia,shifting,1,15726822461,2358830,33.31162895,4.698127532,9.509068748,67.39131354,17.08791375,2683.597874,23.89038734,26.44678214,34.30815498,12.90530817,14.44550064,32.62826295,0.004912188,1,0,0,0,0,0,0.00018,0,0.004732276,0,0,prevalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
khp,Kapori,-3.4,139.7,Asia,South-Eastern Asia,threatened,6b,7.55E+11,200,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,10,3,0.3,0.122125626,0,0,0,0,0,0,0,0,1,0,0,0,0
khr,Kharia,22.5,84.33333333,Asia,Southern Asia,threatened,5,1.67114E+12,241580,46.40047027,3.424961876,5.388815868,66.63186493,17.73317106,1353.488633,15.26057037,27.35894445,38.6964626,32.05872468,11.86801868,15.67695864,0.994674223,0.994674223,0,0,0.994674223,0,0.994674223,0,0,0,0,0,prevalent,3,0,0,0.178559531,0.046261757,0,0,0,1,0,0,0,0,0,0,0,0
kht,Khamti,26.452372,96.573531,Asia,South-Eastern Asia,threatened,5,3.96926E+11,13000,36.10173796,1.34907235,4.376977898,65.48629771,16.96771144,1059.697386,14.29543803,45.52912215,26.7802967,21.8989452,7.186767302,12.07181444,0.213059921,1,0,0,0.213059921,0,0.213059921,0,0,0,0,0,prevalent,4,0,0,0,0.094472414,0,0,0,0,0,0,0,1,0,0,0,0
khv,Khwarshi-Inkhoqwari,42.25,46.16666667,Europe,Europe,shifting,6b,1.58E+12,1740,35.4,3.820250034,11.5,68.84121951,18.69748701,11087.82105,24.19585513,,,21.523805,11.48851967,20.561,1,1,0,0,0,0,0,0,0,1,0,0,prevalent,17,10,0.588235294,0.343952526,2.77E-08,0,0,1,0,0,0,0,0,0,0,0,0
khx,Kanu,-1.42327,28.072025,Africa,Africa,shifting,6a,21565720044,3500,42.2,2.006820023,5.4,56.907,16.62404451,334.0215726,11.5,47.46488,24.04723,23.80564,11.14614487,21.58,1,1,0,0,0,1,0,0,0,0,0,0,prevalent,6,0,0,0.817319486,0,0,0,0,0,0,0,1,0,0,0,0,0
kia,Kim,9.916666667,15.91666667,Africa,Africa,threatened,5,10657705536,15400,41.1,2.232025027,1.9,50.233,15.73805244,863.7612549,,46.70011,27.86992,19.244535,9.81242466,16.163,1,1,1,0,0,1,0,0,0,0,0,0,prevalent,12,1,0.083333333,0.142567481,0.034698694,0,0,0,0,0,0,1,0,0,0,0,0
kic,Kickapoo,42.25,-84,North America,Northern America,shifting,6b,1.81289E+12,510,45.63011995,5.108055716,8.470046007,76.22807753,22.70643845,11738.1818,21.7462419,35.93671097,30.50858011,19.89131701,18.42936257,28.1930351,1,1,0,0,0.054009201,0,0,0,0,0,0.945990799,0,prevalent,1,0,0,0,0.033533446,0,0,0,0,0,1,0,0,0,0,0,0
kid,Koshin,6.58815,10.281317,Africa,Africa,shifting,6b,26143818510,1000,43.1,2.768019915,5.3,55.424,16.68520433,1286.515572,13.2938286,34.19688,52.47442,10.20724,15.70061016,41.84,1,0,0,0,1,1,0,0,0,0,0,0,prevalent,48,11,0.229166667,0.74537556,0.025678452,0,0,0,0,0,0,1,0,0,0,0,0
kig,Kimaama,-8,138.5,Asia,South-Eastern Asia,threatened,6b,7.55E+11,3000,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,6,3,0.5,0.031007571,0.005342702,0,0,0,0,0,0,0,1,0,0,0,0
kih,Kilmeri,-2.89,141.19,Oceania,Oceania,shifting,6b,14250726290,1970,47.8,2.01,4,64.634,16.84059019,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982,9.377,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,24,8,0.333333333,0.090260397,0.010250353,0,1,0,0,0,0,0,0,0,0,0,0
kii,Kitsai,31.83333333,-96.5,North America,Northern America,extinct,9,1.5E+13,2000,37.4,5.194859982,13.2,78.54146341,23.27545261,49405.7673,22.88156784,31.036805,34.861325,27.36472,14.3,12.062,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,2,0,0,0.990707163,0,0,0,0,0,0,1,0,0,0,0,0,0
kil,Kariya,10.908788,9.774494,Africa,Western Africa,shifting,6a,3.63E+11,2000,41.9,3.06,5.2,50.847,13.68090624,2292.445156,,,,,,34.109,1,0,0,0,1,0,0,0,0,0,0,0,prevalent,16,6,0.375,0.036521269,0,1,0,0,0,0,0,0,0,0,0,0,0
kim,Taiga Sayan Turkic,53.75,98,Europe,Europe,nearly extinct,8b,1.58E+12,93,35.4,3.820250034,11.5,68.84121951,18.69748701,11087.82105,24.19585513,,,21.523805,11.48851967,20.561,1,1,0,0,0,0,0,0,0,1,0,0,prevalent,1,0,0,0,0.013074598,0,0,1,0,0,0,0,0,0,0,0,0
kio,Kiowa,37,-99,North America,Northern America,nearly extinct,8a,1.5E+13,400,37.4,5.194859982,13.2,78.54146341,23.27545261,49405.7673,22.88156784,31.036805,34.861325,27.36472,14.3,12.062,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,4,3,0.75,0.000332,0,0,0,0,0,0,1,0,0,0,0,0,0
kiq,Kosadle,-3.79,140.2,Asia,South-Eastern Asia,shifting,6a,7.55E+11,250,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,17,6,0.352941176,0.168869751,0,0,0,0,0,0,0,0,1,0,0,0,0
kis,Kis,-3.509520054,142.7848358,Oceania,Oceania,shifting,6a,14250726290,220,47.8,2.01,4,64.634,16.84059019,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982,9.377,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,26,9,0.346153846,0,0.005171075,0,1,0,0,0,0,0,0,0,0,0,0
kix,Khiamniungan Naga,26.229961,95.035461,Asia,Southern Asia,threatened,5,2.80352E+11,47800,35.16154328,1.160602281,4.284030895,65.38284054,16.89793937,1032.634644,14.20799687,47.19325387,25.69437541,20.96604686,6.764570537,11.744355,0.141562227,1,0,0,0.141562227,0,0.141562227,0,0,0,0,0,prevalent,16,0,0,0,0.077116344,0,0,0,1,0,0,0,0,0,0,0,0
kiy,Kirikiri,-3,137.1666667,Asia,South-Eastern Asia,shifting,6a,7.55E+11,250,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,13,5,0.384615385,0.129856406,0,0,0,0,0,0,0,0,1,0,0,0,0
kja,Mlap,-2.5383,140.2061,Asia,South-Eastern Asia,shifting,8b,7.55E+11,300,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,18,15,0.833333333,0.153871401,0.003563529,0,0,0,0,0,0,0,1,0,0,0,0
kjb,Q'anjob'al,15.33333333,-91.66666667,North America,Central America,threatened,5,41338521638,77700,46.8,2.95517993,4.6,71.494,21.63226021,2909.509715,12.61082891,55.5538,12.88531,12.13767,21.10514069,19.559,1,1,0,0,0,0,0,0,0,0,1,0,prevalent,11,1,0.090909091,0.026572331,0.040235472,0,0,0,0,0,0,0,0,0,0,1,0
kjc,Coastal Konjo,-5.466666667,120.3333333,Asia,South-Eastern Asia,threatened,6b,7.55E+11,125000,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,4,2,0.5,0.556803475,0.022184694,0,0,0,0,0,0,0,1,0,0,0,0
kjh,Khakas,53,90,Europe,Europe,shifting,5,1.60609E+12,42610,35.44222613,3.819323084,11.47570552,68.87820949,18.70256657,11050.00629,24.19414379,,,21.39930268,11.51322763,20.68360617,1,1,0,0,0,0,0,0.005784401,0,0.994215599,0,0,prevalent,1,1,1,0,0.019314392,0,0,1,0,0,0,0,0,0,0,0,0
kjj,Khinalugh,41.16666667,48.08333333,Asia,Arab,shifting,6b,52070545111,1000,29,2.555520058,10.7,70.987,18.36035013,5676.450413,21.5132667,,,12.076615,7.763840199,2.68,0,1,0,0,0,0,0,0,0,0,0,0,prevalent,8,4,0.5,0.185606283,0,0,0,0,0,0,0,0,0,1,0,0,0
kjm,Kháng,22.0333,102.6666,Asia,Asia,shifting,8a,1.3006E+11,13800,37.41247398,5.008798062,7.599293926,75.11728008,22.31472597,1325.498806,0.056250594,29.67745192,40.52069127,14.8819864,17.92762649,20.56299948,0.002353581,0.002353581,0,0,0,0,0,0.002353581,0,0,0,0,prevalent,9,1,0.111111111,0.702906769,0.047535127,0,0,0,0,0,0,0,0,0,1,0,0
kjn,Kunjen,-16.5,142.5,Oceania,Australia and New Zealand,nearly extinct,8b,1.15E+12,20,32.8,5.083129883,12.4,81.69512195,25.03239729,52022.1256,26.03213843,34.96822,36.78888,22.50197,13.48499966,4.375,1,0,0,0,1,0,0,0,0,0,0,0,prevalent,3,1,0.333333333,0.000199,0,0,0,0,0,0,0,0,0,0,0,0,1
kjq,Western Keres,34.91666667,-107.5833333,North America,Northern America,shifting,6b,1.5E+13,3990,37.4,5.194859982,13.2,78.54146341,23.27545261,49405.7673,22.88156784,31.036805,34.861325,27.36472,14.3,12.062,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,3,2,0.666666667,0.004107906,0,0,0,0,0,0,1,0,0,0,0,0,0
kju,Kashaya,38.66666667,-123.3333333,North America,Northern America,nearly extinct,8a,1.5E+13,45,37.4,5.194859982,13.2,78.54146341,23.27545261,49405.7673,22.88156784,31.036805,34.861325,27.36472,14.3,12.062,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,3,1,0.333333333,0.005672411,0.049944626,0,0,0,0,0,1,0,0,0,0,0,0
kkb,Kwerisa,-2.9759,138.153,Asia,South-Eastern Asia,moribund,8b,7.55E+11,15,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,18,4,0.222222222,0.228690506,0,0,0,0,0,0,0,0,1,0,0,0,0
kkc,Odoodee,-6.7,142.5,Oceania,Oceania,shifting,5,14250726290,490,47.8,2.01,4,64.634,16.84059019,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982,9.377,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,11,2,0.181818182,0.880627607,0,0,1,0,0,0,0,0,0,0,0,0,0
